text,label
Madrid corre ya más riesgo que Lombardía o Hubei pero sigue sin decretar el cierre total https://t.co/FGOLgjOmj6,fake
"Informe #COVID19 en nuestro país: Laboratorio Central procesó este fin de semana 33 muestras, 32 resultaron negativas y 1 positiva, relacionada al segundo caso. Total de casos confirmados: 8. #NosCuidamosEntreTodos #quedateencasa @msaludpy https://t.co/hVZP02fxXy",fake
"Si el Gerente del Aeropuerto El Dorado, uno de los más importantes del continente no sabe que hacer con el #coronavirus entonces debería presentar su renuncia, en estos momentos el país necesita de personas que puedan afrontar la situación.

https://t.co/qJVn5sNaTy",real
"[COMUNICADO OFICIAL] Informe N°3 de la situación nacional, frente a la Emergencia Sanitaria por el #COVID19ec ⬇️ | #COVIDー19 #CoronavirusEnEcuador https://t.co/WK26NQhsRc",real
el world tour que se están marcando los madrileños es peor que el del coronavirus en sí https://t.co/fTUmvpqfSk,fake
"Los bancos centrales de Europa, EEUU, Japón y Canadá despliegan mañana toda su artillería contra el coronavirus. Aún esperamos noticias de la Comisión Europea y del Gobierno español (eso el martes) para saber qué se hará directamente en favor de los ciudadanos.",real
Información para la ciudadanía: https://t.co/0HVTr6BOdq,real
"Para los que se creen inmortales y siguen saliendo al parque sin hacer caso a la orden de permanecer en domicilio, estas son las radiografías de un chico de 28 años intubado en la UCI en mi hospital por #coronavirus. Pista: los pulmones es lo negro, lo blanco es neumonía https://t.co/HsWOj43EVv",fake
"Enero: tercera guerra mundial

Febrero: muere Kobe Bryant con su hija pequeña

Marzo: COVID-19 Declarado pandemia mundial 

Abril: posible choque de meteorito a la tierra

Mayo: no se si llegamos pero si pasa queres coger",fake
"Nuestro total respaldo y apoyo a las medidas responsables y congruentes del gobernador @EnriqueAlfaroR , sin miedo, sin pánico, pero también sin titubeos, para estar activos en la prevención del COVID 19 ✅👇 https://t.co/Q78zPilndX",real
"Amigos de América Latina: en España no aprendimos de China ni de Italia y hasta el jueves creímos que llegaría un milagro. Los milagros nunca llegan: adelantad el aislamiento, no os concentréis ni os reunáis, evitad el contagio.",fake
Es sencillo 🤷🏻‍♂️ https://t.co/amzb2Y4U8K,fake
👏👏👏👏👏👏👏 aplauso para todos los que están trabajando en proteger a los ciudadanos por el #COVIDー19 gracias!!,fake
"Coronavirus: cómo hacer una mascarilla casera - Uppers 
Amigos las farmacias las tienen agotadas... aquí una manera fácil y económica de cuidarnos... #RECHAZOCRECE #Rechazo #YoRechazo #CoronaVirusEnChile #covid19chile  https://t.co/jmK6fm2phT",fake
"¡Confirmando! 
López el mentiroso NOS MIENTE OTRA VEZ. 
Los médicos tienen órdenes de reportar los casos de infección por CORONAVIRUS como INFLUENZA. 

Escuchen a Samuel García quien me parece un chavo HONESTO... https://t.co/pdeouuuDMm",fake
"Es momento para la sindéresis y para elevarnos sobre las diferencias políticas. El Presidente @NicolasMaduro le ha hecho un llamado a los gobiernos de Colombia y Brasil para coordinar las acciones conjuntas necesarias, a fin de proteger a nuestros pueblos del #coronavirus.",real
Se cancela el show de chip canario por coronavirus https://t.co/NaEG0Mg2q5,fake
"La epidemia del cólera, en 1991, nos dejó hasta hoy la costumbre de hervir siempre el agua de caño antes de tomarla.Cuando pase el Coronavirus, ¿nos lavaremos las manos con más frecuencia?, ¿nos cubriremos al estornudar? ¿Dejaremos de escupir en la calle?

Los leo.",fake
"Esta es mi hija. Es enfermera en la UVI Corona en La Paz. . Este es su rostro después de horas con el traje EPI. Está cansada. Pero, solo piensa en descansar para volver a currar. Como ella miles de profesionales sanitarios. #yomequedoencasa Gracias. Orgullo https://t.co/4cayGpkgtR",fake
"Artículo de recomendable lectura 👇👇👇👇👇👇👍👍👍👍👍👍.

Un epidemiólogo español de Harvard saca los colores a España: ""Se ha desperdiciado 1 mes"" https://t.co/AVOJei6j0q",fake
"@FErMa33 1) ganenle a aldosivi q descendemos
2) lo mas serio....es hora de implementar la doctrina socialista x el tema coronavirus",fake
"Un rugbier no quiso respetar la cuarentena y le rompió el tabique al seguridad de su edificio. Por favor tomemos conciencia, hay que parar esta pandemia, no hablo del coronavirus, hablo de que hay que prohibir el rugby y meter preso a todos los que practican ese deporte de mierda",fake
El coronavirus no puede matarme porque yo ya estoy muerto de amor x vos bebEeee,fake
"Confirman cierre de la Colonia Tovar hasta nuevo aviso por el coronavirus (Video)
https://t.co/qjpQNGOVxA",fake
"En China/En Chile.
Aprende @jmanalich 
#COVIDー19 https://t.co/aXk6JPE6cS",fake
Cuando son las ocho de la mañana y alguien te empieza a hablar. https://t.co/7Z9fbeYeXY,fake
"12.- Debemos colaborar a mantener la higiene y las medidas preventivas, así como a ayudar en la posible detección de casos. Debemos colaborar con las secretarías y dependencias instruidas para lograr alcanzar las metas que van relacionadas con la salud de la gente.
#Covid19 https://t.co/EStpZDiimp",real
"Señores del ejecutivo, la ciudadanía exige medidas radicales contra el coronavirus y nada de medidas graduales que serían muestras de debilidad. La ciudadanía no lo va a permitir. La decisión es ahora para evitar contagios masivos y muertos.",real
"Nos sumamos a poner en valor todos los cuidados que no pueden parar a pesar de coronavirus.A todas las que nos cuidan y trabajan¡Gracias!✊🏽💜Mañana a las 22h nos sumamos a la cacerolada,sacaremos las castañuelas en homenaje a las Mujeres que sostienen la vida
#CuidaAQuienTeCuida https://t.co/MdDbl7m8ps",real
"Las operadoras se unen para pedir el ""uso responsable de las redes"" ante el aumento del tráfico por el COVID-19 - https://t.co/dVHHtSyy9U",fake
sus viejas también estan RE INTENSAS con el coronavirus?,fake
"""Actualmente no existen vacunas o medicamentos aprobados en el tratamiento del covid-19"", señala un comunicado especial de la @FDA_ORA.

Conoce las recomendaciones de las principales autoridades sanitarias en torno a la comida https://t.co/QtJMT7WlU6",fake
FCCPV ante “Estado de Alarma” decretado por el gobierno como consecuencia del #coronavirus solicita a las autoridades diferimiento en el cumplimiento de ciertas obligaciones fiscales #CuarentenaTributaria @FccpvOficial https://t.co/VwXzj4AMzn,fake
"@dexcyguedez El coronavirus es como ""una familia"" el COVIC-19 es un nuevo miembros de esa familia y es nuevo porque ""nació"" en 2019... Es diferente a los anteriores...",fake
"Hablando del Coronavirus que Duque no quiere controlar, debemos recordar que el papá de él (Iván Duque También) fue el ministro que se negó a la evacuación de Armero y la avalancha del nevado del Ruiz mató a 30 mil personas engañadas con el cuento de que no pasaría nada.",fake
#CoronavirusVenezuela ¿Por qué el agua con jabón es una medida muy eficaz para prevenir el Coronavirus? https://t.co/p7KYHYKI0B,fake
"#Pandemia Venezuela, Guatemala, Uruguay y Puerto Rico tienen casos de coronavirus https://t.co/nh8en9413h https://t.co/9kGxoUR0cj",fake
"Confirmamos 10 nuevos casos de coronavirus en el país. Los nuevos diagnósticos se presentan en Bogotá, Cartagena, Cali, Cúcuta, Dosquebradas, Manizales, Neiva y Medellín. Con estos, Colombia llega a 34 casos de COVID-19. https://t.co/XGJOsM5j3A",fake
Gripe A en el colegio / Coronavirus en la facultad https://t.co/LJ5gtWJdv0,fake
@Hidrocentro2011 @MPPAAguas Aguaaaaa ... Suministren aguaaaa como combatimos #covid #CoronavirusVzla sin agua maracay  sin agua. Casco central sin agua. Cuando bombean... Sean responsables .... Ya basta,fake
"Un epidemiólogo español de Harvard saca los colores a España: ""Se ha desperdiciado 1 mes"" https://t.co/Ry6r9dlAnj",real
No se si esq d mi misma psicopatia m empece a sentir mal o es q m estoy x motir de coronavirus,fake
#CONFIRMADO El ex senador Pedro Bordaberry anunció a través de sus redes que le dio positivo el examen de Coronavirus. https://t.co/2E0gQ8V0fn,fake
"el coronavirus no me puede matar, porque yo morí éste día. https://t.co/8m5kQ5sInQ",fake
"La página Covid19info muestra en tiempo real las estadísticas sobre el #Coronavirus, tanto el nivel de contagiados, fallecidos, curados y más.
Muy útil a docentes o a quienes quieran entender más sobre lo que está pasando y cómo avanza. #COVID19 #eHealth
https://t.co/0vBK2V0Cpk https://t.co/eXtAL6unbt",fake
"Así que hazte un favor, el hecho de estar aún sano, de no haberte enfermado nunca o simplemente no recordarlo, de no conocer a ningún contagiado, no te garantiza nada frente al #COVID19.",uncertain
Se cancela el show de chip canario por coronavirus https://t.co/NaEG0Mg2q5,fake
"Periodistas del Táchira nos unimos en una campaña informativa para la prevención del  coronavirus , estaremos en todas las redes sociales con mensajes para ayudar a frenar la pandemia #TáchiraSeQuedaEnCasa https://t.co/aQi3WD1CrJ",fake
"A Trump le salió el tiro por la culata 

https://t.co/latZDzSeM5",fake
"De acuerdo a los análisis estadísticos que deja la experiencia en China, si Colombia tiene 34 casos oficiales, lo más seguro es que ya tengamos por lo menos 3000. 

El tema es muy serio y la mayoría de colombianos están como en otro planeta. #RESISTENCIAalCovid19",fake
"@KarlaEnAccion Solo días después ? Cuando alguien se le acercó a ud y a varios ahí por lo del #coronavirus , le hicieron caso omiso . Lleva desde enero insistiendo para que se tomaran medidas y no hicieron nada , hasta lo amenazaron con ""echarlo"" si seguía insistiendo(hilo)",fake
"Anuncio de medidas en la Argentina por coronavirus:

-Clases suspendidas hasta el 31 de marzo
-Cierre de fronteras
-Cuarentena obligatoria con sanción penal si no se cumple
-Mayores de 65 años con licenciamiento
-Sin espectáculos culturales o deportivos que aglomeren gente",fake
Cierre de salas de juegos de azar administradas por la Dirección General de Casinos y suspensión de competencia hípica en hipódromos del país. #coronavirus #PlanCoronavirus  https://t.co/LbaW7V5Jx5 https://t.co/KkVLGnEkYf,fake
"Cosas que me gustaría que trasciendan al covid-19:

Valoración del rol del Estado
Lavado de manos
Más trabajo remoto
Menos emisiones de CO2",fake
Gripe A en el colegio / Coronavirus en la facultad https://t.co/LJ5gtWJdv0,fake
Miedo al coronavirus: guía elemental para no dejarse llevar por el alarmismo https://t.co/Xc6Znm8qKc,fake
"El año pasado, apagón nacional de 3 días. Este año, cuarentena por el Coronavirus.
El año que viene, qué? Estaré preñada de morochos? Yo como que mejor cambio el mes de mi cumpleaños y ya.",fake
"Ya empezaron los desmanes en los supermercados por el papel higiénico. #coronapocolypse
#COVID19mx
#CuarentenaCoronavirus
#Coronavirus https://t.co/aDHcCaC4Wi",fake
#Atención Debes estar atento a las disposiciones oficiales para evitar la propagación del #Coronavirus https://t.co/cayI0kpb4L,fake
Recuerden: se quedan en sus casas para frenar el CORONAVIRUS y aprovechan para descacharrar y así combatir el DENGUE,fake
"Deporte en tiempo de #coronavirus.
Entrenando para el mundial de tenis ventana. 

Vía: @GsaLegrand.
https://t.co/OAXuzuquzt",real
"Para los que se creen inmortales y siguen saliendo al parque sin hacer caso a la orden de permanecer en domicilio, estas son las radiografías de un chico de 28 años intubado en la UCI en mi hospital por #coronavirus. Pista: los pulmones es lo negro, lo blanco es neumonía https://t.co/HsWOj43EVv",fake
"#coronavirus Alguien de Salud que le diga la verdad al Presidente.

Los dos infectados en Tierra del Fuego no son turistas ni lo contrajeron por el turismo extranjero. 

Se trata de una argentina que vino de Francia, estaba aislada y contagió a su hijo.

Gobierno papelonero.",fake
Panamá prohíbe el ingreso de extranjeros para evitar propagación del Covid-19 https://t.co/iVtNU2rQUI,fake
@RominaMellaP  puedes jugar desde la ventana https://t.co/BIej5rPljR,fake
Los robots autónomos y drones que rocían con desinfectante y monitorizan el coronavirus en China y otras regiones https://t.co/Ui8AzNI1aA https://t.co/mJNRIYdiWd,fake
Igual me la re garcho https://t.co/WIamXQoHtJ,fake
Congresistas de la bancada alternativa pedimos al Gobierno priorizar medidas para enfrentar el coronavirus en regiones que no cuentan con recursos económicos e infraestructura hospitalaria adecuada: https://t.co/jM1W8kuc3H,real
Loterías y Apuestas del Estado anuncia la suspensión de la venta de todos los juegos durante el estado de alarma ante la crisis del coronavirus https://t.co/VMrsTHsvI0,fake
Cuando el dengue se fusione con el coronavirus en Argentina. https://t.co/yUGcbQ1Ami,fake
"⚠️ URGENTE: Funcionario estadounidense informa que mañana se probará la primera dosis de la vacuna contra el coronavirus, informa Sky News.",fake
"Y LOS QUE DICEN CUIDAR LA SALUD Y LA VIDA DE LA POBLACIÓN, SIGUEN REPRIMIENDO, TORTURANDO Y MATANDO... https://t.co/mDcA16Mjrs",real
"Esto empieza a ser serio y preocupante.

La Junta de #Andalucia debe bajar de las musas al teatro y atender sus competencias. https://t.co/sqapMprx5B",fake
Más de 360 personas mueren en un día en Italia por el coronavirus; polémica por informe que quitaría prioridad a enfermos de más de 80 años ►  https://t.co/e0PXLniQkb https://t.co/l0sQZbKXiX,fake
Este vídeo que circula por Whatsapp resume la nefasta gestión del Gobierno de Pedro Sánchez de la crisis del coronavirus. Que lo vea toda España. https://t.co/3X5wF3RVwy,fake
"@tomascoxf Eso es falso, Tomás. Antes de postear información de esta naturaleza es bueno revisar las fuentes, particularmente en escenarios como el que estamos viviendo. Te dejo una nota de AFP al respecto https://t.co/B6u7NkdTvt",fake
"PRONUNCIAMIENTO
Los Gobernadores Regionales miembros de la ANGR
ante la propagación del covid-19 #coronavirus y declaratoria de pandemia realizada por la OMS, solicitamos la Declaratoria de cuarentena nacional y cierre de fronteras por pandemia
@MartinVizcarraC @presidenciaperu https://t.co/hqM1Y8QJlv",fake
Llamé a la línea #774 para la atención del Covid-19 de la @GobAntioquia (estoy en Jericó) y me atendieron rápido y con información muy completa. Me informaron cómo debía monitorear síntomas y cuando debía llamar nuevamente.,real
@nayibbukele Aquí en Guatemala hoy se conoció el primer fallecido por coronavirus. Hermanos salvadoreños escuchen a su presidente sigan las recomendaciones para retrasar lo más posible la llegada de el virus a su país y cuídense mucho.,fake
sus viejas también estan RE INTENSAS con el coronavirus?,fake
#ÚLTIMAHORA: El Gobierno de #Argentina 🇦🇷 suspende las clases en todo el país debido a la expansión de la pandemia de #coronavirus en la nación. Se van a cerrar las fronteras a todos los extranjeros 15 días y se pide a las personas mayores de 65 años que se queden en sus casas https://t.co/xp8e9yxPb1,fake
"Cualquier alumna de primero de Derecho sabe que no es posible rechazar solo una parte de una herencia.

Si el ciudadano no-electo que firma nuestras leyes no quiere el dinero procedente del dictador saudí, debe renunciar también a la corona designada por el dictador español.",fake
"Agradecemos a @starbucks_sv por sumarse con alimentación para los centros de cuarentena para prevenir el COVID-19.

#AlertaCOVID19SV https://t.co/wDpNQ5ePRF",fake
"URGENTE.!!!
Estas son las recomendaciones a seguir para prevenir el CORONA VIRUS:
-lavarse bien las manos
-no tocar ojos, nariz o boca
-no salir de casa si no es necesario 
-VOTAR RECHAZO
-VOTAR CONVENCIÓN MIXTA
-YO RECHAZÓ..
Seguir cuidadosamente...",fake
"#NoComasCuento: La @WHO aseguró que el contagio del #COVID19 se produce de forma zoonótica, es decir de los animales a las personas (transmisión). El virus surge por el contacto de los humanos con animales salvajes. Revisa: https://t.co/gGxOgfPi8L https://t.co/47HWePPNUH",fake
Sigan rumbeando... Los veré en dos semanas haciendo hilos en Twitter alegando porque la eps les va a dejar morir la mamá o la abuelita de COVID..,fake
3.000 dolares el examen en gringolandia para saber si tenes coronavirus y aca en Argentina es gratis https://t.co/Xam5BMibnS,fake
Mi hermana llorando porque le dijeron que no le pueden festejar el cumpleñito. Putea al coronavirus jaja,fake
"💻 Gobierno implementa portal único de información oficial sobre el #Coronavirus #COVID19 y triaje digital para identificar situaciones de riesgo.

➡️ Ingresa a https://t.co/STxE1C64Wg

Más detalles aquí: https://t.co/zCwhkS5PSf https://t.co/wLsZkBjFo0",real
Votación y contagio por coronavirus. https://t.co/Wdf606YH7h,fake
Hoy más que nunca debemos tomar conciencia de la importancia de nuestro compromiso personal para que el Coronavirus no colapse en sistema sanitario argentino. Cumplir las medidas dispuestas por el Gobierno Nacional es responsabilidad de todos. https://t.co/9Jnr6Llqa5,real
"Si se ponen a pensar estamos teniendo una educación del culo,no fuimos al colegio casi medio año por amenazas de bomba,después la escuela que exploto,ahora coronavirus,q sigue??",fake
Recordemos que  la prevención es muy importante ante cualquier situación. Estos 7 pasos de la OMS son importantes contra el #COVID19 👇🏽 https://t.co/vHKBdnCtp2,uncertain
"Para ayudar a prevenir la propagación de enfermedades respiratorias como el Coronavirus #COVID19 te sugerimos: 

✔️Evitar contacto con personas enfermas
✔️Evitar tocarse ojos, nariz y boca 
✔️Limpiar y/o desinfectar objetos 
✔️Lavarse las manos frecuentemente https://t.co/fNTfw2LTtY",fake
🚨Asi lo Dijo Nuestro Presidente @NicolasMaduro 🚨 Siete (07) nuevos casos de Coronavirus se detectan hoy en Venezuela. @RLosllanos @Libertad020 #EscudoBolivarianoIII2020 https://t.co/zgwrciG34T,fake
"Turista española, no. GILIPOLLAS. Así, sin más. https://t.co/FdN3n8V5UU",fake
"Coronavirus: “Suspenden clases y actividades no esenciales hasta 31 d marzo”
Tras una reunión encabezada por el presidente Alberto Fernández en la Quinta de Olivos se decidió extremar medidas para frenar la propagación del COVID19. Las medidas en exclusiva
https://t.co/II3WgiDmX2",fake
"Que me de el coronavirus ya, para que quiero vivir si este maldito virus me va dejar sin trabajo.",fake
"""Cuando una persona decide el aislamiento de forma voluntaria porque vienen de otros países con casos de coronavirus y no presenta síntomas, de todos modos debe registrarse con el Ministerio de Salud para darle seguimiento"", infectólogo, Xavier Sáez Llorens. #TReporta",fake
"Panameños gracias al coronavirus descubren que el Lysol es caro. SIEMPRE ha estado en ese precio, lol https://t.co/NTYFCEYsYi",fake
"Hola, soy politóloga, mamerta y foucoltiana.
Si quieres que hablemos de teorías conspiranóicas, nuevo orden mundial y bipolítica en tiempos del COVID y no quieres salir de casa, no dudes en contactarme.
Favor rotar.",fake
El BRUTAL gesto de Cristiano Ronaldo para ayudar en la lucha contra el coronavirus https://t.co/xlcAAcLqUk,fake
"Por qué la gente habla de lavarse las manos después de ir al baño con tanta urgencia? Me están dando a entender que antes de esto no lo hacían, cochinos culiaos, como van al baño y no se lavan las manos después de limpiarse el poto le tienen miedo al coronavirus y no su mierda",fake
"¡CONFIRMADO! 
Número de contagiados por COVID-19 superó a suscriptores de Win+

@actualidadpanam",fake
El coronavirus ha impulsado el diseño de estos productos:  https://t.co/C33ROOwsKQ,real
"Brillante conferencia de Alberto sobre el avance del coronavirus. Ahora el fútbol argentino deberá acompañar el pedido de unidad del Presidente de la Nación, y dejar de tomar decisiones unilaterales y absurdas, como ha hecho D'onofrio y le ha celebrado su séquito de alcahuetes.",fake
Decisiones relevantes que pueden hacer la diferencia! https://t.co/2caO5JXNAU,real
el dron: https://t.co/ldTlQ7kJYj https://t.co/VhxplzNghP,fake
"• El presidente habla 
https://t.co/sFJ0qMinLr",fake
Pero que https://t.co/AxTOFgPVjg,fake
"Yamhure, el cobarde que le gusta besarse de lengua con De La Espriella teniendo los mismos gustos. El de amenazar a los que piensan diferente por redes. https://t.co/Gsl3EPKgyG",fake
"Diferencias clave entre sistemas de salud: 

- Casos de Coronavirus en Cuba = 4

- Casos de Coronavirus en Colombia = 38

- Casos de Coronavirus en Chile = 61

¿Conclusión? Los sistemas de salud privados son un fracaso, porque ponen el mercado por encima del bienestar humano.",fake
LO mejor para cuidarse del #Coronavirus es actuar acatando la cuarentena #Yomequedoencasa,fake
"Ojalá el Presidente @sebastianpinera llame pronto a otros Presidentes como @alferdez @ivanduque @maritoabdo y entienda que el 
#CierreLasFronteras es indispensable para frenar el CoronaVirus. Siempre vamos un paso atrás y cada minuto cuenta!",fake
"Datos: 

- El Salvador reporta 1241 personas en cuarentena en 19 centros en el país.

- No hay ningún confirmado de coronavirus hasta el momento.",fake
jajaj bb creo que te estás tomando muy en serio eso del social distancing porque no me respondes los mensajes,fake
¿Con antibióticos es posible protegerme del coronavirus (COVID-19)? ¡Falso! Infórmate bien y no creas los #MitosDelCoronavirus https://t.co/QAgxTfpycM,fake
"Para comprender la velocidad en la que aumentan los contagios de coronavirus en Venezuela:

En solo 3 días Venezuela registra 17 casos.

En 10 días Colombia registra 34 casos.

En 16 días Ecuador registra 37 casos .",fake
"@teledoce Salinas: ""Reiteramos la línea 0800 1919, el sitio https://t.co/VJb32KhPXQ y la web de https://t.co/CGLhrtBPUu. El lunes queda listo el chatbot para evacuar dudas.
A partir del jueves tendremos la aplicación para iOS y Android para que la gente tenga georeferenciación"".",fake
"Como medida dentro del #PlanCoronavirus se suspenden las clases por las próximas dos semanas.
Recuerda más información en: ➡️https://t.co/b6NxTzntBS
Y en ➡️ https://t.co/vdriyi007s https://t.co/MdFxIKJHmW",fake
Ojo con el corona!!! a ver si no volves https://t.co/raq22aFJ7K,fake
Rt si el coronavirus ya te arruino algo,fake
La habría mandado maduro https://t.co/7RGWO6KGiO,fake
Es mas probable que me agarre coronavirus a que me llegue este mensaje https://t.co/9KeJufNmRY,fake
"En 2008, cuando empezaba mi carrera en la @UdeA, me reía de una amiga que tenía un novio en Cali.

Hoy, la mayoría mi círculo social tiene su pareja permanente en otro país. Hoy no es gracioso.

Ojala estén uds con sus seres queridos hoy.

El amor en los tiempos del coronavirus.",fake
"El Alcalde de Cali @JorgeIvanOspina anuncia que médicos cubanos 🇨🇺 apoyarán la lucha contra el #COVIDー19 en la ciudad, además de la adquisición de un cargamento del medicamento Cubano Interferón Alfa-2B. ¡Decisiones correctas para enfrentar la crisis!",fake
"yo: voy a ponerme las pilas y empezar el gimnasio
coronavirus: no
yo: bueno",fake
Información prioritaria del coronavirus Covid-19 https://t.co/zmfzN4c3jn,fake
"LIMPIO# Zona piquetecue con megáfono el personal policial comunican que darán cumplimiento a lo establecido, sobre medida de prevención #coronavirus https://t.co/tHLiNOKqq7",real
"Están suspendiendo todo por el coronavirus pero hacen misa igual, pónganse de acuerdo xq hay algo mal no anda bien",fake
¿Crees que has estado expuesto al #coronavirus? Sigue nuestras recomendaciones y quédate en casa. #PerúEstáEnNuestrasManos 🇵🇪 Para más información visita ➡️ https://t.co/F4GaDrvulE https://t.co/OaU23soDYP,fake
"Escribo este tweet para que el Coronavirus no nos haga olvidar de:

- Riesgo País 3200
- Dólar 83$
- Recorte de jubilaciones
- Intervención de la Justicia
- 100.000 despidos 
- Aumentó el número de femicidios

EL PAÍS DE ALBERTO☝️
No nos distraigamos tanto.
Buen domingo.",fake
La mejor manera de combatir al #Covid-19 es con medidas preventivas y con información. Cuidémonos entre todos. https://t.co/RaO0ct0Gzu,real
